Quote,Author
"“I may not have gone where I intended to go, but I think I have ended up where I needed to be.”
    
  ―
  
    Douglas Adams,
  

The Long Dark Tea-Time of the Soul","Douglas Adams,"
"“Outside of a dog, a book is man's best friend. Inside of a dog it's too dark to read.”
    
  ―
  
    Groucho Marx,
  

The Essential Groucho: Writings For By And About Groucho Marx","Groucho Marx,"
"“I am enough of an artist to draw freely upon my imagination. Imagination is more important than knowledge. Knowledge is limited. Imagination encircles the world.”
    
  ―
  
    Albert Einstein",Albert Einstein
"“I solemnly swear that I am up to no good.”
    
  ―
  
    J.K. Rowling,
  

Harry Potter and the Prisoner of Azkaban","J.K. Rowling,"
"“Love all, trust a few,Do wrong to none: be able for thine enemyRather in power than use; and keep thy friendUnder thy own life's key: be check'd for silence,But never tax'd for speech.”
    
  ―
  
    William Shakespeare,
  

All's Well That Ends Well","William Shakespeare,"
"“I like nonsense, it wakes up the brain cells. Fantasy is a necessary ingredient in living.”
    
  ―
  
    Dr. Seuss",Dr. Seuss
"“Have you ever been in love? Horrible isn't it? It makes you so vulnerable. It opens your chest and it opens up your heart and it means that someone can get inside you and mess you up.”
    
  ―
  
    Neil Gaiman,
  

The Sandman, Vol. 9: The Kindly Ones","Neil Gaiman,"
"“A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.”
    
  ―
  
    George R.R. Martin,
  

A Dance with Dragons","George R.R. Martin,"
"“A day without sunshine is like, you know, night.”
    
  ―
  
    Steve Martin",Steve Martin
"“Being deeply loved by someone gives you strength, while loving someone deeply gives you courage.”
    
  ―
  
    Lao Tzu",Lao Tzu
"“Never put off till tomorrow what may be done day after tomorrow just as well.”
    
  ―
  
    Mark Twain",Mark Twain
"“
The Paradoxical Commandments
People are illogical, unreasonable, and self-centered.Love them anyway.If you do good, people will accuse you of selfish ulterior motives.Do good anyway.If you are successful, you will win false friends and true enemies.Succeed anyway.The good you do today will be forgotten tomorrow.Do good anyway.Honesty and frankness make you vulnerable.Be honest and frank anyway.The biggest men and women with the biggest ideas can be shot down by the smallest men and women with the smallest minds.Think big anyway.People favor underdogs but follow only top dogs.Fight for a few underdogs anyway.What you spend years building may be destroyed overnight.Build anyway.People really need help but may attack you if you do help them.Help people anyway.Give the world the best you have and you'll get kicked in the teeth.Give the world the best you have anyway.”
    
  ―
  
    Kent M. Keith,
  

The Silent Revolution: Dynamic Leadership in the Student Council","Kent M. Keith,"
"“That which does not kill us makes us stronger.”
    
  ―
  
    Friedrich Nietzsche",Friedrich Nietzsche
"“It is never too late to be what you might have been.”
    
  ―
  
    George Eliot",George Eliot
"“You have brains in your head. You have feet in your shoes. You can steer yourself any direction you choose. You're on your own. And you know what you know. And YOU are the one who'll decide where to go...”
    
  ―
  
    Dr. Seuss,
  

Oh, the Places You’ll Go!","Dr. Seuss,"
"“For every minute you are angry you lose sixty seconds of happiness.”
    
  ―
  
    Ralph Waldo Emerson",Ralph Waldo Emerson
"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”
    
  ―
  
    Marilyn Monroe",Marilyn Monroe
"“I love deadlines. I love the whooshing noise they make as they go by.”
    
  ―
  
    Douglas Adams,
  

The Salmon of Doubt: Hitchhiking the Galaxy One Last Time","Douglas Adams,"
"“It takes a great deal of bravery to stand up to our enemies, but just as much to stand up to our friends.”
    
  ―
  
    J.K. Rowling,
  

Harry Potter and the Sorcerer's Stone","J.K. Rowling,"
"“I'm not upset that you lied to me, I'm upset that from now on I can't believe you.”
    
  ―
  
    Friedrich Nietzsche",Friedrich Nietzsche
"“There is no greater agony than bearing an untold story inside you.”
    
  ―
  
    Maya Angelou,
  

I Know Why the Caged Bird Sings","Maya Angelou,"
"“If you judge people, you have no time to love them.”
    
  ―
  
    Mother Teresa",Mother Teresa
"“There is never a time or place for true love. It happens accidentally, in a heartbeat, in a single flashing, throbbing moment.”
    
  ―
  
    Sarah Dessen,
  

The Truth About Forever","Sarah Dessen,"
"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”
    
  ―
  
    Haruki Murakami,
  

Norwegian Wood","Haruki Murakami,"
"“If you can't explain it to a six year old, you don't understand it yourself.”
    
  ―
  
    Albert Einstein",Albert Einstein
"“Love is that condition in which the happiness of another person is essential to your own.”
    
  ―
  
    Robert A. Heinlein,
  

Stranger in a Strange Land","Robert A. Heinlein,"
"“Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.”
    
  ―
  
    Garrison Keillor",Garrison Keillor
"“Everything you can imagine is real.”
    
  ―
  
    Pablo Picasso",Pablo Picasso
"“I have always imagined that Paradise will be a kind of library.”
    
  ―
  
    Jorge Luis Borges",Jorge Luis Borges
"“We don't see things as they are, we see them as we are.”
    
  ―
  
    Anaïs Nin",Anaïs Nin
"“Women and cats will do as they please, and men and dogs should relax and get used to the idea.”
    
  ―
  
    Robert A. Heinlein",Robert A. Heinlein
"“You love me. Real or not real?""I tell him, ""Real.”
    
  ―
  
    Suzanne Collins,
  

Mockingjay","Suzanne Collins,"
"“You may not be her first, her last, or her only. She loved before she may love again. But if she loves you now, what else matters? She's not perfect—you aren't either, and the two of you may never be perfect together but if she can make you laugh, cause you to think twice, and admit to being human and making mistakes, hold onto her and give her the most you can. She may not be thinking about you every second of the day, but she will give you a part of her that she knows you can break—her heart. So don't hurt her, don't change her, don't analyze and don't expect more than she can give. Smile when she makes you happy, let her know when she makes you mad, and miss her when she's not there.”
    
  ―
  
    Bob Marley",Bob Marley
"“Sometimes the questions are complicated and the answers are simple.”
    
  ―
  
    Dr. Seuss",Dr. Seuss
"“You can never get a cup of tea large enough or a book long enough to suit me.”
    
  ―
  
    C.S. Lewis",C.S. Lewis
"“Never trust anyone who has not brought a book with them.”
    
  ―
  
    Lemony Snicket,
  

Horseradish: Bitter Truths You Can't Avoid","Lemony Snicket,"
"“Life isn't about finding yourself. Life is about creating yourself.”
    
  ―
  
    George Bernard Shaw",George Bernard Shaw
"“We read to know we're not alone.”
    
  ―
  
    William Nicholson,
  

Shadowlands: A Play","William Nicholson,"
"“Sometimes, you read a book and it fills you with this weird evangelical zeal, and you become convinced that the shattered world will never be put back together unless and until all living humans read the book.”
    
  ―
  
    John Green,
  

The Fault in Our Stars","John Green,"
"“All you need is love. But a little chocolate now and then doesn't hurt.”
    
  ―
  
    Charles M. Schulz",Charles M. Schulz
"“Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.”
    
  ―
  
    Jim Henson",Jim Henson
"“Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?”
    
  ―
  
    J.K. Rowling,
  

Harry Potter and the Deathly Hallows","J.K. Rowling,"
"“Today you are You, that is truer than true. There is no one alive who is Youer than You.”
    
  ―
  
    Dr. Seuss,
  

Happy Birthday to You!","Dr. Seuss,"
"“I'm not afraid of death; I just don't want to be there when it happens.”
    
  ―
  
    Woody Allen",Woody Allen
"“If one cannot enjoy reading a book over and over again, there is no use in reading it at all.”
    
  ―
  
    Oscar Wilde",Oscar Wilde
"“To the well-organized mind, death is but the next great adventure.”
    
  ―
  
    J.K. Rowling,
  

Harry Potter and the Sorcerer's Stone","J.K. Rowling,"
"“If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.”
    
  ―
  
    Albert Einstein",Albert Einstein
"“It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all—in which case, you fail by default.”
    
  ―
  
    J.K. Rowling",J.K. Rowling
"“I'm in love with you,"" he said quietly.""Augustus,"" I said.""I am,"" he said. He was staring at me, and I could see the corners of his eyes crinkling. ""I'm in love with you, and I'm not in the business of denying myself the simple pleasure of saying true things. I'm in love with you, and I know that love is just a shout into the void, and that oblivion is inevitable, and that we're all doomed and that there will come a day when all our labor has been returned to dust, and I know the sun will swallow the only earth we'll ever have, and I am in love with you.”
    
  ―
  
    John Green,
  

The Fault in Our Stars","John Green,"
"“Logic will get you from A to Z; imagination will get you everywhere.”
    
  ―
  
    Albert Einstein",Albert Einstein
"“I am nothing special, of this I am sure. I am a common man with common thoughts and I've led a common life. There are no monuments dedicated to me and my name will soon be forgotten, but I've loved another with all my heart and soul, and to me, this has always been enough..”
    
  ―
  
    Nicholas Sparks,
  

The Notebook","Nicholas Sparks,"
"“The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.”
    
  ―
  
    Bob Marley",Bob Marley
"“Whenever I feel the need to exercise, I lie down until it goes away.”
    
  ―
  
    Paul   Terry",Paul   Terry
"“Sometimes people are beautiful.Not in looks.Not in what they say.Just in what they are.”
    
  ―
  
    Markus Zusak,
  

I Am the Messenger","Markus Zusak,"
"“Love looks not with the eyes, but with the mind; And therefore is wing'd Cupid painted blind. Nor hath love's mind of any judgment taste; Wings and no eyes figure unheedy haste: And therefore is love said to be a child, Because in choice he is so oft beguil'd.”
    
  ―
  
    William Shakespeare,
  

A Midsummer Night’s Dream","William Shakespeare,"
"“Have you fallen in love with the wrong person yet?'Jace said, ""Unfortunately, Lady of the Haven, my one true love remains myself.""...""At least,"" she said, ""you don't have to worry about rejection, Jace Wayland.""""Not necessarily. I turn myself down occasionally, just to keep it interesting.”
    
  ―
  
    Cassandra Clare,
  

City of Bones","Cassandra Clare,"
"“You don't get to choose if you get hurt in this world...but you do have some say in who hurts you. I like my choices.”
    
  ―
  
    John Green,
  

The Fault in Our Stars","John Green,"
"“Do what you can, with what you have, where you are.”
    
  ―
  
    Theodore Roosevelt",Theodore Roosevelt
"“Folks are usually about as happy as they make their minds up to be.”
    
  ―
  
    Abraham Lincoln",Abraham Lincoln
"“The more that you read, the more things you will know. The more that you learn, the more places you'll go.”
    
  ―
  
    Dr. Seuss,
  

I Can Read with My Eyes Shut!","Dr. Seuss,"
"“There is no friend as loyal as a book.”
    
  ―
  
    Ernest Hemingway",Ernest Hemingway
"“Success is not final, failure is not fatal: it is the courage to continue that counts.”
    
  ―
  
    Winston S. Churchill",Winston S. Churchill
"“The story so far:In the beginning the Universe was created.This has made a lot of people very angry and been widely regarded as a bad move.”
    
  ―
  
    Douglas Adams,
  

The Restaurant at the End of the Universe","Douglas Adams,"
"“One good thing about music, when it hits you, you feel no pain.”
    
  ―
  
    Bob Marley",Bob Marley
"“There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.”
    
  ―
  
    Jane Austen,
  

Northanger Abbey","Jane Austen,"
"“I find television very educating. Every time somebody turns on the set, I go into the other room and read a book.”
    
  ―
  
    Groucho Marx",Groucho Marx
"“So, this is my life. And I want you to know that I am both happy and sad and I'm still trying to figure out how that could be.”
    
  ―
  
    Stephen Chbosky,
  

The Perks of Being a Wallflower","Stephen Chbosky,"
"“Love is like the wind, you can't see it but you can feel it.”
    
  ―
  
    Nicholas Sparks,
  

A Walk to Remember","Nicholas Sparks,"
